Estacion,Numero_Libreta,Pagina,Año,Familia,Especie_fixed,Especie,Numero_del_Nido,N,Grados,Minutos,Segundos,S,Grados.1,Minutos.1,Segundos.1,W,Grados.2,Minutos.2,Segundos.2,Elevacion_fixed,Elevacion,Fecha_de_encuentro,old_begin,hatch_date2,old_hatch,Ultima_fecha_de_actividad,old_end,find_fixed,hatch_fixed,end_fixed,Fecha_de_ixctividad,Dias_Totales,Estado,Estado_fixed,Huevo_o_Polluelo,Tipo,Tipo_fixed,Largo_mm,Ancho_mm,Espesor_mm,Profundidad_1_mm,Profundidad_2_mm,Largo_mm.1,Ancho_mm.1,Alto_mm,Altura_fixed,Altura_sobre_el_suelo_cm,Total_g,Total_g_fixed,Capa_1_g,Capa_2_g,Capa_3_g,Capa_4_g,Material_extra,Numero,Largo_mm.2,Ancho_mm.2,Peso_g,Tamaño_de_Nidada,Fecha,Polluelos,Individuo,Edad,Masa_g,Tarso_mm,Ala_mm,Pico_mm,Cola_mm,T_inicial,T_final,T_ambiente,Todos_los_huevos_eclosionaron,Todos_los_polluelos_salieron_del_nido,Camara_trampa,Data_logger,Notas,Fecha_de_encuentro_posix,Ultima_fecha_de_actividad_posix,Fecha_de_ixctividad_posix,Fecha_posix,Fecha_de_ixctividad_yday,Fecha_yday,nestcode,nest_height_after_sp_average,genus,nest_mass_after_sp_average,Pagina2,new_nestcode,run_lengths,Fecha_de_encuentro_yday,old_begin_y,hatch_date_yday,old_hatch_y,Ultima_fecha_de_actividad_yday,old_end_y,final_find,final_hatch,final_end
Trocha_Union,0,1,2006,Trochilidae,,Coeligena_torquata,TU01_ML06,NA,NA,NA,NA,x,x,x,x,x,x,x,x,,2750,23-Aug-06,NA,NA,NA,24-Aug-06,NA,,,,NA,NA,Desconocido,,Huevo,Copa,,x,x,x,x,NA,x,x,x,,150,NA,,NA,NA,NA,NA,NA,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,,8/23/2006,8/24/2006,NA,NA,NA,NA,Coeligena_torquata_TU01_ML06,150,Coeligena,10.35,1,2006 -book: 0 -page: 1 -species: Coeligena_torquata -number: 1,1,235,NA,NA,NA,236,NA,235,NA,236
Road_San_Pedro,0,1,2006,Turdidae,,Myadestes_ralloides,SPR01_JJ06,NA,NA,NA,NA,x,x,x,x,x,x,x,x,,NA,29-Aug-06,29-Aug-06,NA,NA,31-Aug-06,31-Aug-06,,,,NA,NA,Desconocido,,Huevo,Copa,,80,x,x,38,NA,x,120,110,,250,NA,,x,x,x,x,x,1,24.5,17.8,3.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,x,x,,8/29/2006,8/31/2006,NA,NA,NA,NA,Myadestes_ralloides_SPR01_JJ06,250,Myadestes,61.9088,1,2006 -book: 0 -page: 1 -species: Myadestes_ralloides -number: 1,1,241,241,NA,NA,243,243,241,NA,243
San_Pedro,0,2,2006,Thamnophilidae,,Thamnophilus_palliatus,ML2,NA,NA,NA,NA,x,x,x,x,x,x,x,x,,NA,31-Aug-06,31-Aug-06,NA,NA,NA,7-Sep-06,,,,NA,NA,x,,Huevo,Copa,,84,55,x,48,NA,104,85,68,,NA,NA,,x,x,x,x,x,1,21.3,16.6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,,8/31/2006,NA,NA,NA,NA,NA,Thamnophilus_palliatus_ML2,350,Thamnophilus,5.38,2,2006 -book: 0 -page: 2 -species: Thamnophilus_palliatus -number: 1,1,243,243,NA,NA,NA,250,243,NA,250
Tono,0,9,2006,Thamnophilidae,,Dysithamnus_mentalis,T01_CM06,NA,NA,NA,NA,x,x,x,x,x,x,x,x,,950,12-Sep-06,11-Sep-06,NA,NA,NA,11-Sep-06,,,,NA,NA,x,,Huevo,Copa,,x,x,x,42,NA,72,52,51,,50,NA,,x,x,x,x,x,1,20.9,14.3,2.05,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,,9/12/2006,NA,NA,NA,NA,NA,Dysithamnus_mentalis_T01_CM06,50,Dysithamnus,3.766666667,9,2006 -book: 0 -page: 9 -species: Dysithamnus_mentalis -number: 1,1,255,254,NA,NA,NA,254,254,NA,254
Tono,0,11,2006,Tinamidae,,Crypturellus_cinereus,T01_ZP06,NA,NA,NA,NA,x,x,x,x,x,x,x,x,,NA,14-Sep-06,14-Sep-06,NA,NA,16-Sep-06,16-Sep-06,,,,NA,NA,x,,Huevo,Suelo,,x,x,x,25,NA,x,x,x,,0,NA,,x,x,x,x,x,1,37.4,28.8,17.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,,9/14/2006,9/16/2006,NA,NA,NA,NA,Crypturellus_cinereus_T01_ZP06,0,Crypturellus,NA,11,2006 -book: 0 -page: 11 -species: Crypturellus_cinereus -number: 1,1,257,257,NA,NA,259,259,257,NA,259
Wayqecha,0,13,2006,Turdidae,,Turdus_fuscater,ZP2,NA,NA,NA,NA,x,x,x,x,x,x,x,x,,NA,3-Oct-06,3-Oct-06,NA,3-Oct-06,6-Oct-06,6-Oct-06,,,,30-Oct-06,NA,NA,,Polluelo,Copa,,x,107,x,x,NA,155,x,x,,150,NA,,x,x,x,x,x,NA,NA,NA,NA,2,6-Oct-06,1,1,NA,39.4,NA,NA,x,x,x,x,NA,x,x,x,x,,10/3/2006,10/6/2006,10/30/2006,10/6/2006,303,279,Turdus_fuscater_ZP2,150,Turdus,367.6051923,13,2006 -book: 0 -page: 13 -species: Turdus_fuscater -number: 1,1,276,276,NA,276,279,279,276,276,279
Wayqecha,0,15,2006,Turdidae,,Turdus_serranus,ML3,NA,NA,NA,NA,13.1759,13,10,33.4,71.5998,71,35,59.1,,NA,4-Oct-06,4-Oct-06,NA,NA,17-Oct-06,17-Oct-06,,,,NA,NA,Depredado_parcial,,Huevo,Copa,,x,105,x,105,NA,x,150,150,,NA,NA,,x,x,x,x,x,1,x,x,8.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,,10/4/2006,10/17/2006,NA,NA,NA,NA,Turdus_serranus_ML3,295,Turdus,247.92,15,2006 -book: 0 -page: 15 -species: Turdus_serranus -number: 1,1,277,277,NA,NA,290,290,277,NA,290
San_Pedro,0,19,2006,Thraupidae,,Ramphocelus_carbo,ML5,NA,NA,NA,NA,13.1769,13,10,36.8,71.5856,71,35,8.1,,NA,7-Oct-06,7-Oct-06,NA,NA,8-Oct-06,8-Oct-06,,,,NA,NA,Activo,,Huevo,Copa,,x,x,x,x,NA,x,x,x,,NA,NA,,x,x,x,x,x,1,x,x,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,x,x,,10/7/2006,10/8/2006,NA,NA,NA,NA,Ramphocelus_carbo_ML5,116.9863014,Ramphocelus,17.68540984,19,2006 -book: 0 -page: 19 -species: Ramphocelus_carbo -number: 1,1,280,280,NA,NA,281,281,280,NA,281
San_Pedro,5,5,2009,Turdidae,,Turdus_hauxwelli,SP11_AC09,NA,NA,NA,NA,13.0551,13,3,18.4,71.5464,71,32,47.2,,1382,10-Oct-09,10-Oct-09,10-Oct-09,10-Oct-09,19-Oct-09,19-Oct-09,,,,20-Oct-09,10,Depredado_total,,Polluelo,Copa,,97.1,92,36.3,52.4,NA,131.4,144.9,19.8,,150,NA,,x,x,x,NA,NA,NA,NA,NA,NA,1,12-Oct-09,1,1,2,14.95,17,14,x,x,x,x,NA,No,x,x,No,,10/10/2009,10/19/2009,10/20/2009,10/12/2009,293,285,Turdus_hauxwelli_SP11_AC09,150,Turdus,178.97,5,2009 -book: 5 -page: 5 -species: Turdus_hauxwelli -number: 1,1,283,283,283,283,292,292,283,283,292
Pantiacolla,5,49,2011,Turdidae,,Turdus_hauxwelli,P1_SVR11,NA,NA,NA,NA,13.1,12,65,60.1,71.3851,71,23,6.3,,400,8-Sep-11,8-Sep-11,NA,NA,9-Sep-11,11-Sep-11,,,,11-Sep-11,3,Abandonado,,Huevo,Copa,,69.7,68.3,40.1,66.1,NA,94.4,x,75.2,,100,14.8,,6.08,8.8,x,x,x,A,27.2,19.8,5.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,Si,,9/8/2011,9/9/2011,9/11/2011,NA,254,NA,Turdus_hauxwelli_P1_SVR11,100,Turdus,14.8,49,2011 -book: 5 -page: 49 -species: Turdus_hauxwelli -number: 1,1,251,251,NA,NA,252,254,251,NA,252
