archivo,dia,nest_attentiveness_day,duracion_total_on,duracion_intervalo_day,inicio_intervalo,fin_intervalo,avg_duracion_on,avg_duracion_off,avg_duracion_nocturnal,n_eventos_on,n_eventos_off,avg_temp_ambient_diaria,especie,nido_id,sp_old,cod_del_nido,sp,Elevacion,Largo_mm.2,Ancho_mm.2,Peso_g,egg_mass_rel,egg_roundness
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-12,0.41184971098265893,285,692,354,1045,47.5,58.142857142857146,374.0,6,7,24.262226388888887,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-13,0.17908309455587393,125,698,358,1055,31.25,114.6,371.0,4,5,24.111986805555553,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-14,0.5022288261515602,338,673,370,1042,84.5,67.0,383.5,4,5,22.01749583333333,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-15,0.4711964549483013,319,677,363,1039,79.75,71.6,381.5,4,5,22.904576388888888,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-16,0.3865814696485623,363,939,120,1058,51.857142857142854,82.28571428571429,250.5,7,7,24.679984722222223,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-17,0.596244131455399,381,639,396,1034,63.5,36.857142857142854,400.5,6,7,24.446158333333333,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-18,0.7209653092006033,478,663,393,1055,39.833333333333336,14.23076923076923,388.5,12,13,19.11284236111111,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-19,0.7305785123966942,442,605,450,1054,49.111111111111114,16.3,417.5,9,10,20.70214097222222,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-20,0.529839883551674,364,687,359,1045,45.5,35.888888888888886,376.5,8,9,23.4860875,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-21,0.6558641975308642,425,648,412,1059,70.83333333333333,31.857142857142858,396.0,6,7,24.812181944444447,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-22,0.7416798732171157,468,631,421,1051,117.0,32.6,404.5,4,5,24.934317361111113,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-23,0.642962962962963,434,675,408,1082,72.33333333333333,34.42857142857143,382.5,6,7,23.699027083333334,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-24,0.7756521739130435,446,575,477,1051,74.33333333333333,18.428571428571427,432.5,6,7,17.381466666666668,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherula_hauxwelli_P02a_AJRC13_processed.csv,2013-09-25,0.7213930348258707,435,603,443,1045,87.0,28.0,418.5,5,6,19.089654166666666,Myrmotherula hauxwelli,P02a_AJRC13,Isleria_hauxwelli,P02_AJRC13,Myrmotherula hauxwelli,400.0,17.1,12.7,1.7,0.1619047619047619,0.7426900584795321
Myrmotherulla_hauxwelli_P100a_MASM13_processed.csv,2013-11-14,0.6258620689655172,363,580,448,1027,148.66666666666666,72.33333333333333,388.5,3,3,22.441893055555557,Myrmotherulla hauxwelli,P100a_MASM13,Isleria_hauxwelli,P31_MASM13,Myrmotherula hauxwelli,376.0,17.8,13.7,1.7,0.1619047619047619,0.7696629213483145
Myrmotherulla_hauxwelli_P100a_MASM13_processed.csv,2013-11-15,0.7578008915304606,510,673,345,1017,170.0,40.75,383.5,3,4,24.328290972222224,Myrmotherulla hauxwelli,P100a_MASM13,Isleria_hauxwelli,P31_MASM13,Myrmotherula hauxwelli,376.0,17.8,13.7,1.7,0.1619047619047619,0.7696629213483145
Myrmotherulla_hauxwelli_P100a_MASM13_processed.csv,2013-11-16,0.12674825174825174,145,1144,97,1240,22.0,33.09090909090909,95.11111111111111,10,11,25.322741666666666,Myrmotherulla hauxwelli,P100a_MASM13,Isleria_hauxwelli,P31_MASM13,Myrmotherula hauxwelli,376.0,17.8,13.7,1.7,0.1619047619047619,0.7696629213483145
Tangara_schrakii_t1a_GVC08(1)_processed.csv,2008-10-16,0.6199021207177814,380,613,325,937,42.22222222222222,23.3,413.5,9,10,20.589418055555555,Tangara schrakii,t1a_GVC08(1),Tangara_schrankii,T1_GVC08,Tangara schrankii,933.0,20.4,15.0,2.15,0.1131578947368421,0.7352941176470589
Tangara_schrakii_t1a_GVC08(1)_processed.csv,2008-10-17,0.7748031496062993,492,635,329,963,70.28571428571429,20.428571428571427,402.5,7,7,19.300631944444444,Tangara schrakii,t1a_GVC08(1),Tangara_schrankii,T1_GVC08,Tangara schrankii,933.0,20.4,15.0,2.15,0.1131578947368421,0.7352941176470589
Tangara_schranki_T1b_GVC_08_processed.csv,2008-10-19,0.5971014492753624,412,690,318,1007,25.75,16.352941176470587,375.0,16,17,20.32334583333333,Tangara schranki,T1b_GVC,,,Tangara schrankii,,,,,,
Tangara_schrankii_P08a_JMGP12_processed.csv,2012-10-27,0.6891495601173021,470,682,352,1033,117.5,42.4,379.0,4,5,23.559470833333332,Tangara schrankii,P08a_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
Tangara_schrankii_P08a_JMGP12_processed.csv,2012-10-28,0.5962910128388017,418,701,356,1056,139.33333333333334,40.0,287.3333333333333,3,4,24.21747152777778,Tangara schrankii,P08a_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
Tangara_schrankii_P08a_JMGP12_processed.csv,2012-10-29,0.6018518518518519,390,648,336,983,130.0,64.5,396.0,3,4,24.828790277777777,Tangara schrankii,P08a_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
Tangara_schrankii_P08a_JMGP12_processed.csv,2012-10-30,0.7183499288762447,505,703,347,1049,168.33333333333334,49.5,368.5,3,4,24.803359027777777,Tangara schrankii,P08a_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
Tangara_schrankii_P08b_JMGP12_processed.csv,2012-11-01,0.5995203836930456,500,834,330,1163,100.0,34.833333333333336,243.66666666666666,5,6,25.131919444444446,Tangara schrankii,P08b_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
Tangara_schrankii_P08b_JMGP12_processed.csv,2012-11-02,0.7418300653594772,454,612,340,951,227.0,52.666666666666664,414.0,2,3,24.36073125,Tangara schrankii,P08b_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
Tangara_schrankii_P08b_JMGP12_processed.csv,2012-11-03,0.7216,451,625,333,957,150.33333333333334,43.5,407.5,3,4,24.76282013888889,Tangara schrankii,P08b_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
Tangara_schrankii_P08b_JMGP12_processed.csv,2012-11-04,0.6840425531914893,643,940,336,1275,214.33333333333334,74.25,250.0,3,4,24.10542013888889,Tangara schrankii,P08b_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
Tangara_schrankii_P08b_JMGP12_processed.csv,2012-11-05,0.8367952522255193,564,674,374,1047,141.0,22.0,383.0,4,5,23.005156250000002,Tangara schrankii,P08b_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
Tangara_schrankii_P08b_JMGP12_processed.csv,2012-11-06,0.5994152046783626,410,684,350,1033,31.53846153846154,19.571428571428573,378.0,13,14,22.66115138888889,Tangara schrankii,P08b_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
Tangara_schrankii_P08b_JMGP12_processed.csv,2012-11-07,0.5359765051395007,365,681,340,1020,40.55555555555556,31.6,379.5,9,10,23.684706249999998,Tangara schrankii,P08b_JMGP12,Tangara_schrankii,P08_JMGP12,Tangara schrankii,389.0,20.0,15.2,2.56,0.13473684210526315,0.76
