archivo,especie,nido_id,sp,sp_old,cod_del_nido
Myrmotherula_hauxwelli_P02a_AJRC13_processed,Myrmotherula hauxwelli,P02a_AJRC13,Isleria hauxwelli,Isleria_hauxwelli,P02_AJRC13
Myrmotherula_hauxwelli_P02b_AJRC13_processed,Myrmotherula hauxwelli,P02b_AJRC13,Isleria hauxwelli,Isleria_hauxwelli,P02_AJRC13
Myrmotherulla_hauxwelli_P100a_MASM13_processed,Myrmotherulla hauxwelli,P100a_MASM13,Isleria hauxwelli,Isleria_hauxwelli,P31_MASM13
Tangara_schrakii_T1_GAL08_processed,Tangara schrakii,T1_GAL08,Tangara schrankii,Tangara_schrankii,T3_JAG08
Tangara_schrakii_t1a_GVC08(1)_processed,Tangara schrakii,t1a_GVC08(1),Tangara schrankii,Tangara_schrankii,T1_GVC08
Tangara_schranki_T1b_GVC_08_processed_soloegg,Tangara schranki,T1b_GVC,Tangara schrankii,Tangara_schrankii,T1_GVC08
Tangara_schrankii_P04_JCK13_processed,Tangara schrankii,P04_JCK13,Tangara schrankii,Tangara_schrankii,P04_JCK13
Tangara_schrankii_P08a_JMGP12_processed,Tangara schrankii,P08a_JMGP12,Tangara schrankii,Tangara_schrankii,P08_JMGP12
Tangara_schrankii_P08b_JMGP12_processed,Tangara schrankii,P08b_JMGP12,Tangara schrankii,Tangara_schrankii,P08_JMGP12
Tangara_schrankii_P10(b)_JMGP12_processed,Tangara schrankii,P10(b)_JMGP12,Tangara schrankii,Tangara_schrankii,P10_JMGP12
Tangara_schrankii_P10b_NSTC13_processed,Tangara schrankii,P10b_NSTC13,Tangara schrankii,Tangara_schrankii,P10_NSTC13
Tangara_schrankii_P13_RVA11_processed,Tangara schrankii,P13_RVA11,Tangara schrankii,Tangara_schrankii,P13_RVA11
Tangara_schrankii_P13b_RVA11_processed,Tangara schrankii,P13b_RVA11,Tangara schrankii,Tangara_schrankii,P13_RVA11
Tangara_schrankii_P13c_RVA11_processed,Tangara schrankii,P13c_RVA11,Tangara schrankii,Tangara_schrankii,P13_RVA11
Tangara_schrankii_P14a_JAG10_processed,Tangara schrankii,P14a_JAG10,Tangara schrankii,Tangara_schrankii,P14_JAG10
Tangara_schrankii_P21_DAGR12_processed,Tangara schrankii,P21_DAGR12,Tangara schrankii,Tangara_schrankii,P21_DAGR12
Tangara_schrankii_P24b_CAB10_processed,Tangara schrankii,P24b_CAB10,Tangara schrankii,Tangara_schrankii,P24_CAB10
Tangara_schrankii_P26_JD13_processed,Tangara schrankii,P26_JD13,Tangara schrankii,Tangara_schrankii,P26_JD13
Tangara_schrankii_P29b_RVA11_processed,Tangara schrankii,P29b_RVA11,Tangara schrankii,Tangara_schrankii,P29_RVA11
Tangara_schrankii_P31_JAEC_10_processed,Tangara schrankii,P31_JAEC,Tangara schrankii,Tangara_schrankii,P31_JAEC10
Tangara_schrankii_P31b_JAEC_10_processed,Tangara schrankii,P31b_JAEC,Tangara schrankii,Tangara_schrankii,P31_JAEC10
Tangara_schrankii_P33_RVA11_processed,Tangara schrankii,P33_RVA11,Tangara schrankii,Tangara_schrankii,P33_RVA11
Tangara_schrankii_P33b_RVA11_processed,Tangara schrankii,P33b_RVA11,Tangara schrankii,Tangara_schrankii,P33_RVA11
Tangara_schrankii_P33c_RVA11_processed,Tangara schrankii,P33c_RVA11,Tangara schrankii,Tangara_schrankii,P33_RVA11
Tangara_schrankii_P34_CAB10_BAD_processed_soloegg,Tangara schrankii,P34_CAB10,Tangara schrankii,Tangara_schrankii,P34_CAB10
Tangara_schrankii_P36_JPV11_BAD_processed,Tangara schrankii,P36_JPV11,Tangara schrankii,Tangara_schrankii,P36_JPV11
Tangara_schrankii_P41_CAB10_processed,Tangara schrankii,P41_CAB10,Tangara schrankii,Tangara_schrankii,P41_CAB10
Tangara_schrankii_P51_MASM12_processed,Tangara schrankii,P51_MASM12,Tangara schrankii,Tangara_schrankii,P51_MASM12
Tangara_schrankii_P51b_MASM12_processed,Tangara schrankii,P51b_MASM12,Tangara schrankii,Tangara_schrankii,P51_MASM12
Tangara_schrankii_P53a_JAG10_processed,Tangara schrankii,P53a_JAG10,Tangara schrankii,Tangara_schrankii,P53_JAG10
Tangara_schrankii_P53b_JAG10_processed_soloegg,Tangara schrankii,P53b_JAG10,Tangara schrankii,Tangara_schrankii,P53_JAG10
Tangara_schrankii_P5B_DOR11_processed,Tangara schrankii,P5B_DOR11,Tangara schrankii,Tangara_schrankii,P05_JSP13
Tangara_schrankii_P6_JMM11_processed,Tangara schrankii,P6_JMM11,Tangara schrankii,Tangara_schrankii,P16_JMM11
Tangara_schrankii_P8_JMM11_processed,Tangara schrankii,P8_JMM11,Tangara schrankii,Tangara_schrankii,P19_JMM11
Tangara_schrankii_P93a_MASM13_processed,Tangara schrankii,P93a_MASM13,Tangara schrankii,Tangara_schrankii,P93_MASM13
Tangara_schrankii_T16_MAL09_processed,Tangara schrankii,T16_MAL09,Tangara schrankii,Tangara_schrankii,T24_MAL09
Tangara_schrankii_T18MAL09_processed,Tangara schrankii,T18MAL09_processed,Tangara schrankii,Tangara_schrankii,T18_MAL09
